0,288;0,952;0;0,51;0;0,45;0,201;0,016;0,244
0,909;0;0;0,625;0;0,942;0,048;0,739;0,658
0,271;0,41;0;0,51;0;0,738;0,377;0,074;0,292
0,623;0,261;0;0,038;0,727;0,149;1;0,247;0,75
0,664;0;0;0,561;0;0,406;0,481;0,074;0,464
0,202;0;0,626;0,358;0,307;0,808;0,514;0,272;0,389
0,311;0;0;0,51;0;0,924;0,49;0,074;0,19
0,475;0,398;0,555;0,369;0,683;0,328;0,143;0,074;0,391
0,224;0,37;0;0,561;0;0,478;0,532;0,074;0,35
0,349;0;0;0,561;0;0,258;0,881;0,005;0,073
0,495;0,591;0;0,271;0,444;0,149;0,719;0,016;0,387
0,737;0,296;0;0,253;0,512;0,149;0,735;0,247;0,783
0,595;0,526;0;0,344;0,36;0,418;0,406;0,005;0,411
0,909;0;0;0,625;0;0,942;0,048;0,074;0,52
0,461;0,211;0;0,848;0;0,381;0,191;0,074;0,567
0,43;0,538;0;0,51;0;0,573;0,277;0,016;0,243
0,39;0,506;0;0,51;0;0,615;0,302;0,016;0,217
0,343;0;0,494;0,196;0,441;0,543;0,74;0,151;0,667
0,526;0,396;0;0,848;0;0,381;0;0,074;0,382
0;0,426;0;0,561;0;0,25;0,873;0,074;0,186
0,258;0,15;0,609;0,27;0,298;0,62;0,468;0,151;0,643
0,635;0,264;0;0,848;0;0,381;0;1;0,515
0,252;0;0,502;0,3;0,27;0,601;0,777;0,036;0,299
0,646;0;0;0,513;0;0,48;0,424;0;0,049
0,416;0,334;0;0,369;0,217;0,491;0,502;0,074;0,481
0,4;0;0,487;0,31;0,366;0,503;0,706;0,074;0,572
0,35;0,474;0;0,51;0;0,656;0,327;0,016;0,186
0,646;0;0,68;0,289;0,621;0,297;0,437;0,074;0,663
0,421;0,559;0;0,183;0,348;0,592;0,526;0,005;0,275
0,638;0;0;0,51;0;0,883;0,477;0,016;0,152
0,202;0;0,626;0,32;0,307;0,835;0,523;0,151;0,451
0,255;0,273;0,122;0,478;0,208;0,77;0,48;0,272;0,593
0,674;0;0;0,51;0;0,697;0,352;0,016;0,288
1;0;0;0,409;0;0,942;0,048;0,016;0,626
0,888;0,072;0,615;0,704;0,121;0,235;0,263;0,016;0,388
0,527;0,049;0,815;0,361;0,556;0,567;0,146;0,074;0,56
0,909;0;0;0,145;0,124;0,48;0,65;0,074;0,813
0,513;0;0,689;0,617;0,335;0;0,498;0,074;0,452
0,255;0;0,871;0,299;0,363;0,705;0,446;0,036;0,34
0,664;0;0;0,561;0;0,406;0,481;0,005;0,21
0,13;0,582;0,805;0,633;0,217;0,137;0,188;0,074;0,356
0,271;0,41;0;0,51;0;0,738;0,377;0,016;0,134
0,635;0;0;0,848;0;0,381;0,191;0,739;0,635
